pitch,roll,y,z,spot
-0.18153,0.00412,3.8327398,1.8813189,0
-0.17837,0.00361,3.8327398,1.8813189,0
-0.17535,0.00309,3.8327398,1.8813189,0
-0.17227,0.0027,3.8327398,1.8813189,0
-0.16918,0.00231,3.8327398,1.8813189,0
-0.16585,0.00151,3.8327398,1.8813189,0
-0.16245,5.3E-4,4.678174,1.650872,0
1.10253,-0.3004,4.678174,1.650872,0
1.10508,-0.30156,4.678174,1.650872,0
1.10524,-0.29955,4.678174,1.650872,0
1.10486,-0.29666,4.678174,1.650872,0
1.10475,-0.29466,4.678174,1.650872,0
1.10515,-0.2933,4.678174,1.650872,0
1.10608,-0.29207,4.678174,1.650872,0
1.10708,-0.29094,4.678174,1.650872,0
1.10815,-0.29039,4.678174,1.650872,0
1.10929,-0.28998,4.678174,1.650872,0
1.11084,-0.29009,4.678174,1.650872,0
1.1126,-0.29037,4.678174,1.650872,0
1.11462,-0.29024,4.678174,1.650872,0
1.11638,-0.28954,4.678174,1.650872,0
1.11748,-0.28897,4.678174,1.650872,0
1.11827,-0.28862,4.678174,1.650872,0
1.11928,-0.28805,4.678174,1.650872,0
1.1202,-0.28759,4.678174,1.650872,0
1.12109,-0.28772,4.678174,1.650872,0
1.12197,-0.28821,4.678174,1.650872,0
1.12305,-0.28892,4.678174,1.650872,0
1.12439,-0.28995,4.678174,1.650872,0
1.12588,-0.29111,4.678174,1.650872,0
1.12699,-0.29183,4.678174,1.650872,0
1.12779,-0.29165,4.678174,1.650872,0
1.12858,-0.2913,4.678174,1.650872,0
1.12913,-0.29113,4.678174,1.650872,0
1.12956,-0.29043,4.678174,1.650872,0
1.12945,-0.28924,4.678174,1.650872,0
1.12819,-0.28754,4.678174,1.650872,0
1.12713,-0.28672,4.678174,1.650872,0
1.12576,-0.28605,4.678174,1.650872,0
1.12486,-0.28592,4.678174,1.650872,0
1.12449,-0.28659,4.678174,1.650872,0
1.12469,-0.28735,4.678174,1.650872,0
1.12474,-0.28835,4.678174,1.650872,0
1.12481,-0.28942,4.678174,1.650872,0
1.12492,-0.29064,4.678174,1.650872,0
1.1249,-0.2918,4.678174,1.650872,0
1.12501,-0.29225,4.678174,1.650872,0
1.12516,-0.29232,4.678174,1.650872,0
1.12518,-0.29243,4.678174,1.650872,0
1.12533,-0.29224,4.678174,1.650872,0
1.12543,-0.29215,4.678174,1.650872,0
1.12583,-0.29234,4.678174,1.650872,0
1.12651,-0.29294,4.678174,1.650872,0
1.12736,-0.29335,4.678174,1.650872,0
1.12811,-0.29389,4.678174,1.650872,0
1.12884,-0.2943,4.678174,1.650872,0
1.12907,-0.29493,4.678174,1.650872,0
1.12919,-0.29546,4.678174,1.650872,0
1.12917,-0.29558,4.678174,1.650872,0
1.12912,-0.29535,4.678174,1.650872,0
1.12911,-0.29472,4.678174,1.650872,0
1.12921,-0.29369,4.678174,1.650872,0
1.12939,-0.29265,4.678174,1.650872,0
1.1296,-0.29171,4.678174,1.650872,0
1.13012,-0.29052,4.678174,1.650872,0
1.1309,-0.28971,4.678174,1.650872,0
1.13177,-0.28902,4.678174,1.650872,0
1.13253,-0.28782,4.678174,1.650872,0
1.13291,-0.28626,4.678174,1.650872,0
1.13298,-0.28566,4.678174,1.650872,0
1.1329,-0.2848,4.678174,1.650872,0
1.13285,-0.28373,4.678174,1.650872,0
1.13298,-0.28305,4.678174,1.650872,0
1.13329,-0.28325,4.678174,1.650872,0
1.13341,-0.28376,4.678174,1.650872,0
1.13364,-0.28367,4.678174,1.650872,0
1.13372,-0.28378,4.678174,1.650872,0
1.13354,-0.28374,4.678174,1.650872,0
1.13357,-0.28316,4.678174,1.650872,0
1.13369,-0.28265,4.678174,1.650872,0
1.13379,-0.28203,4.678174,1.650872,0
1.13404,-0.28139,4.678174,1.650872,0
1.13462,-0.28094,4.678174,1.650872,0
1.13569,-0.28118,4.678174,1.650872,0
1.13688,-0.28134,4.678174,1.650872,0
1.13733,-0.28152,4.678174,1.650872,0
